"100,00%","100,00%",2,2,t,t,Jacarepaguá,2,1,1,1,$209.00,3,90,2,4,1125,1125,3.0,1125.0,t,16,46,73,73,74,15,1,4.84,4.75,f,4,4,0,0.74,,,,,,,,
"95,00%","82,00%",4,4,t,t,Copacabana,4,,1,1,$464.00,3,89,3,3,89,89,3.0,89.0,t,8,38,59,334,59,7,0,4.73,4.67,f,4,4,0,0.48,,,,,,,,
"95,00%","82,00%",4,4,t,t,Copacabana,4,,1,1,$350.00,3,89,3,3,89,89,3.0,89.0,t,0,0,24,299,30,0,0,4.71,4.37,f,4,4,0,0.24,,,,,,,,
"100,00%","100,00%",1,1,t,t,Copacabana,5,1,1,5,$704.00,5,14,5,5,1125,1125,5.0,1125.0,t,4,25,46,66,35,15,3,4.82,4.82,f,2,2,0,0.37,,,,,,,,
"100,00%","100,00%",5,5,t,t,Copacabana,6,1,2,3,"$1,033.00",2,360,2,8,360,360,2.4,360.0,t,9,10,40,315,44,3,0,4.67,4.43,f,4,4,0,0.36,,,,,,,,
"100,00%","93,00%",10,10,t,t,Copacabana,4,1,1,3,$438.00,2,150,2,5,150,150,2.1,150.0,t,5,22,41,316,90,5,1,4.6,4.39,f,10,10,0,0.74,,,,,,,,
"20,00%","0,00%",3,3,t,t,Botafogo,4,,1,1,$200.00,1,760,1,1,760,760,1.0,760.0,t,19,49,76,351,0,0,0,,,f,3,2,1,,,,,,,,,
"90,00%","75,00%",2,2,t,t,Glória,2,1,1,1,$414.00,3,90,3,3,90,90,3.0,90.0,t,26,56,86,361,6,0,0,4.83,4.5,f,1,1,0,0.06,,,,,,,,
"71,00%","67,00%",1,1,t,f,Copacabana,4,1,1,2,$350.00,3,760,2,4,760,760,3.0,760.0,t,23,52,76,340,13,0,0,4.85,4.85,f,1,1,0,0.11,,,,,,,,
N/A,"0,00%",1,1,t,f,Botafogo,4,3,2,2,$369.00,5,730,5,5,730,730,5.0,730.0,t,0,0,0,171,0,0,0,,,f,1,1,0,,,,,,,,,
"100,00%","80,00%",1,1,t,t,Copacabana,3,1,1,1,$474.00,2,180,2,2,180,180,2.0,180.0,t,4,6,6,59,136,9,2,4.73,4.6,f,2,2,0,1.12,,,,,,,,
"100,00%","100,00%",1,1,t,t,Copacabana,4,1.5 ,2,2,$280.00,3,90,3,5,90,90,3.1,90.0,t,20,50,57,57,127,5,0,4.79,4.68,f,1,1,0,1.02,,,,,,,,
"70,00%","64,00%",1,1,t,t,Copacabana,4,2.5 ,2,2,"$2,351.00",1,365,1,1,365,365,1.0,365.0,t,20,50,64,339,85,5,0,4.79,4.66,f,1,1,0,0.69,,,,,,,,
"0,00%","100,00%",2,2,t,t,Barra da Tijuca,3,1,1,1,$195.00,3,365,3,3,1125,1125,3.0,1125.0,t,0,0,0,0,220,0,0,4.77,4.64,t,2,2,0,1.81,,,,,,,,
"100,00%","97,00%",3,3,t,t,Copacabana,3,1,1,2,$199.00,2,1125,2,2,1125,1125,2.0,1125.0,t,4,16,24,24,133,7,1,4.86,4.75,t,3,1,2,1.11,,,,,,,,
"100,00%","33,00%",13,13,t,t,Vidigal,16,1,1,3,$973.00,7,1095,7,7,1095,1095,7.0,1095.0,t,30,60,90,365,27,0,0,4.48,4.2,f,10,10,0,0.22,,,,,,,,
"60,00%","100,00%",2,2,t,t,Copacabana,4,1,1,4,$394.00,4,1125,4,4,1125,1125,4.0,1125.0,t,4,9,14,99,83,1,0,4.83,4.75,f,2,2,0,0.68,,,,,,,,
